question,answer,unit,category,funFact
Price of 1kg of local 'Masur Dal' in a Dhaka retail market (2024),150,BDT,Price,Lentils are a primary source of protein for many Bangladeshi families.
Cost of a single 15kg LP gas cylinder from a private distributor (2024),1600,BDT,Price,Private gas prices are slightly higher than the BERC-regulated state prices.
Price of a 1kg packet of Aarong Ghee (2024),1650,BDT,Price,Ghee is a luxury cooking ingredient used for rich dishes and desserts.
Retail price of a 500g packet of Danish brand condensed milk (2024),95,BDT,Price,Condensed milk is widely used for making tea and local sweets.
Cost of a standard Rickshaw fare from Dhanmondi 32 to Science Lab (2024),40,BDT,Price,Rickshaw pullers often calculate fares based on time and road conditions.
Price of a 'Mini' plate of Fuchka at a roadside stall in Dhanmondi (2024),60,BDT,Price,Fuchka is arguably the most popular street food in the country.
Average price of 1kg of local Garlic in Dhaka (2024),220,BDT,Price,Garlic prices see sharp spikes when imports from China are delayed.
Price of a 10-pack of Gold Leaf cigarettes in a local shop (2024),140,BDT,Price,Cigarette prices are fixed based on the tier system in the national budget.
Cost of a 1kg packet of Pusty Flour (Ata) in a grocery store (2024),65,BDT,Price,Flour is an essential staple for making daily handmade rotis.
Price of a 250ml glass of 'Special Lassi' at Beauty Lassi (Old Dhaka) (2024),100,BDT,Price,This shop has been operating since the British colonial era.
Cost of a single adult entry ticket to the 3D Cineplex at SKS Tower (2024),600,BDT,Price,SKS Tower hosts one of the most premium cinema experiences in Dhaka.
Price of 1kg of 'A' grade Ginger at Karwan Bazar (mid-2024),280,BDT,Price,Ginger is often imported from India and Vietnam to meet local demand.
Cost of a 1kg tub of Pran Mango Pickle in a supermarket (2024),350,BDT,Price,Pickles are a staple side dish in Bengali households during lunch.
Price of a 1kg packet of Fortune brand refined sugar (2024),145,BDT,Price,Sugar prices are capped by the government to prevent market hoarding.
Average cost of a 'Double' cabin on a Barishal-bound launch (private) (2024),2500,BDT,Price,Launch cabins are like mobile hotel rooms with beds and AC.
Price of a single 100g bar of Lux soap (Soft Touch) (2024),75,BDT,Price,Personal care products have seen consistent price hikes over the last year.
Price of 1kg of Broiler Chicken in a Dhaka kitchen market (May 2024),210,BDT,Price,Poultry prices change almost daily based on farm supply and feed costs.
Cost of a standard 40W energy-saving LED bulb (Transtec/Philips) (2024),280,BDT,Price,LED bulbs have significantly reduced electricity consumption in urban homes.
Price of a 1kg pack of local salt (crude) in a rural market (2024),35,BDT,Price,Crude salt is cheaper than refined iodized salt used in cities.
Cost of a single trip in a CNG from Uttara to Motijheel (negotiated) (2024),450,BDT,Price,Most CNG drivers do not use meters and instead rely on bargaining.
Price of 1kg of Ruhi fish at a local wet market (medium size) (2024),450,BDT,Price,Ruhi is the most common and beloved freshwater fish in the country.
Cost of a single 150g packet of Bombay Sweets Potato Crackers (2024),30,BDT,Price,This brand has been a household name for snacks for decades.
Price of 1kg of local 'Goru' (Beef) meat with bones at Karwan Bazar (2024),780,BDT,Price,Beef is the most expensive meat in the local market after mutton.
Cost of a 1-liter bottle of local brand dishwashing liquid (Vixol/Savlon) (2024),220,BDT,Price,Cleaning products are now mass-produced locally by major conglomerates.
Price of a 2kg packet of Surf Excel washing powder in Dhaka (2024),480,BDT,Price,Surf Excel is the market leader in the premium detergent segment.
Cost of a single movie ticket at Balaka Cinema Hall (standard) (2024),250,BDT,Price,Balaka is one of the oldest and most iconic cinema halls near Dhaka University.
"Price of a 1kg box of standard sweets (Misti) at Rossomoy, Dhaka (2024)",450,BDT,Price,Sweets are an essential gift when visiting friends or family in BD.
Cost of a non-AC bus ticket from Dhaka to Rajshahi (standard) (2024),600,BDT,Price,Non-AC buses are the primary mode of travel for budget-conscious people.
Price of a 500ml bottle of Coca-Cola in a local shop (2024),40,BDT,Price,Soda prices are printed on the bottle and rarely vary between shops.
Price of a single McDonald's Big Mac in the USA (average 2024),6,USD,Price,Economists use the 'Big Mac Index' to measure purchasing power parity.
Cost of a one-month Netflix Standard plan in the USA (2024),15,USD,Price,Netflix has raised prices several times to fund its original content.
Price of a 12-pack of 12oz Coca-Cola cans in a US grocery store (2024),8,USD,Price,The price of soda has risen significantly due to supply chain inflation.
Cost of a single adult movie ticket in New York City (average) (2024),18,USD,Price,NYC is one of the most expensive cities for cinema in the world.
Retail price of a 4-pack of Energizer AA batteries in the US (2024),7,USD,Price,Alkaline battery prices are relatively stable compared to lithium ones.
Cost of a single 'In-N-Out' Double-Double burger in California (2024),6,USD,Price,In-N-Out is famous for maintaining low prices despite high quality.
Price of 1 gallon of regular gasoline in California (average 2024),5,USD,Price,Gas prices in California are typically the highest in the US due to taxes.
Cost of a standard 1-day ticket to Disneyland Park (lowest tier) (2024),104,USD,Price,Disney uses dynamic pricing based on the day of the week and season.
Cost of an iPhone 15 Pro (128GB) at US launch (2023),999,USD,Price,Apple maintained the price of the Pro model for several generations.
Price of a 1kg tub of Nutella in a standard US supermarket (2024),10,USD,Price,Nutella is an imported luxury spread but has a cult following in the US.
Retail price of a 1-gallon jug of whole milk in the USA (average) (2024),4,USD,Price,Milk is a primary grocery staple used to measure cost-of-living.
Cost of a 10-piece Chicken McNuggets at McDonald's USA (average) (2024),6,USD,Price,Fast food prices have increased significantly over the last 3 years.
Price of a single 'First Class' forever stamp in the US (2024),68,cents,Price,Forever stamps can be used even if the price of postage rises later.
Cost of a 1-month subscription to Disney+ (No Ads) in the US (2024),14,USD,Price,Disney+ has focused on profitability by increasing subscription fees.
Price of a 1kg bag of Starbucks Pike Place coffee beans in the US (2024),18,USD,Price,Buying whole beans is a common way for US consumers to save on coffee.
Cost of a standard pair of Levi's 501 jeans in a US retail store (2024),60,USD,Price,Levi's is a global icon of American fashion and denim quality.
Price of a single ride on the NYC Subway (2024),3,USD,Price,The fare is flat regardless of the distance traveled within the system.
Annual membership fee for a standard Costco Gold Star plan (2024),60,USD,Price,The membership allows access to bulk pricing and cheaper gasoline.
Number of World Cup titles won by the Australian cricket team (ODI),6,titles,Sports,Australia is the most successful team in the history of the tournament.
Number of goals scored by Pele in his professional career (official),767,goals,Sports,"The total including friendlies is often cited as over 1,200."
Seating capacity of the Camp Nou stadium in Barcelona (approx),99354,seats,Sports,It is the largest stadium in Europe and the home of FC Barcelona.
How many yards long is a standard professional soccer pitch (avg)?,115,yards,Sports,The dimensions can vary slightly but are regulated by FIFA.
Number of teeth a snail can have in its mouth (up to),14000,teeth,Weird Facts,Snails have thousands of microscopic teeth on their tongue (radula).
Number of minutes the shortest ever war lasted (Britain vs Zanzibar),38,minutes,Weird Facts,The war ended after the Sultan's palace was bombarded by ships.
How many heartbeats per minute does a hibernating groundhog have?,5,bpm,Weird Facts,Their heart rate drops drastically to save energy during winter.
Number of legs a millipede can have (up to),750,legs,Weird Facts,"Despite the name meaning 'thousand feet', none have reached 1,000."
How many brains does a common leech have?,32,brains,Weird Facts,"A leech's body is divided into 32 segments, each with its own brain."
Number of years it takes for a plastic bottle to decompose (avg),450,years,Weird Facts,Plastic never fully disappears; it just turns into microplastics.
How many liters of saliva does a human produce in a year (avg)?,365,liters,Weird Facts,The human body produces about 1 to 1.5 liters of spit every day.
How many taste buds does a typical human tongue have?,10000,taste buds,Weird Facts,Taste buds are replaced every two weeks throughout your life.
Number of districts in the Chattogram division,11,districts,Desh,It is the largest division in Bangladesh by land area.
Number of major bridges over the Jamuna river (as of 2026),2,bridges,Desh,This includes the original multi-purpose bridge and the new rail bridge.
Number of years the Mughal empire ruled over the Bengal region,185,years,Desh,The Mughals established Dhaka as a major provincial capital.
Total number of seats reserved for women in the Jatiya Sangsad,50,seats,Desh,These seats are distributed among parties based on their total vote share.
How many gates are in the historic Lalbagh Fort?,3,gates,Desh,The fort was never fully completed but remains a major Dhaka landmark.
Year the first private satellite channel (ATN Bangla) started in BD,1997,year,Desh,This ended the state monopoly of BTV on television broadcasts.
Number of bridges in the '3-Bridge' complex in Daudkandi,3,bridges,Desh,"It consists of the Meghna, Gumti, and another small bridge."
Number of public universities currently in Bangladesh (approx 2024),55,universities,Desh,"This includes general, technical, and agricultural universities."
Year the first gold medal was won by BD in South Asian Games,1984,year,Desh,Bangladesh has been a consistent participant in the SAG since its inception.
Cost of a single 'Fuchka' plate at a premium Dhaka restaurant (2024),150,BDT,Price,Fine dining versions of street food are popular in malls.
Price of a 2-liter bottle of 7UP at a grocery store (2024),100,BDT,Price,Larger bottles offer better value for parties and families.
Cost of a 'Mini' burger at a local street stall in Dhaka (2024),50,BDT,Price,Street burgers are a common quick snack for students.
Price of a 1kg packet of Ispahani Mirzapore Tea (2024),580,BDT,Price,This is one of the most popular tea brands in Bangladesh.
Cost of a single AC train ticket from Dhaka to Chittagong (Snigdha) (2024),800,BDT,Price,Snigdha is the standard AC chair class on Bangladesh Railway.
Price of a 100g bar of Cadbury Dairy Milk in a Dhaka shop (2024),180,BDT,Price,Imported chocolates carry significant taxes in Bangladesh.
Cost of a standard 500ml bottle of Savlon Handwash (2024),180,BDT,Price,Hygiene products saw a massive surge in use after 2020.
Price of 1kg of high-quality 'Chinigura' rice in a packet (2024),160,BDT,Price,This small-grain aromatic rice is used for making Polao and Biryani.
Cost of a single ride on a local 'Laguna' in Dhaka (max distance) (2024),30,BDT,Price,Lagunas are small human-haulers that fill the gap in public transport.
Price of a 1kg tub of Horlicks in a Dhaka pharmacy (2024),850,BDT,Price,Malted milk drinks are popular health supplements for children in BD.
Number of legs on a common house spider,8,legs,Weird Facts,"Spiders are arachnids, distinguishing them from six-legged insects."
Number of muscles in a cat's ear,32,muscles,Weird Facts,This allows them to rotate their ears 180 degrees independently.
Number of bones in a newborn human baby (approx),270,bones,Weird Facts,Many of these bones fuse together as the baby grows into an adult.
Number of years a Greenland shark can live (up to),400,years,Weird Facts,They are the longest-living vertebrates on the planet.
How many miles wide is the Earth at the equator (rounded)?,7926,miles,Global,The Earth is slightly wider at the middle due to its rotation.
Length of the Cox's Bazar sea beach in kilometers,120,km,Desh,It is considered the world's longest natural sandy sea beach.
Height of the National Martyr's Memorial in Savar in feet,150,feet,Desh,The monument is composed of 7 pairs of triangular walls.
Number of UNESCO World Heritage Sites in Bangladesh,3,sites,Desh,They are Bagerhat
Year the first Grameen Bank was founded by Muhammad Yunus,1983,year,Desh,It revolutionized the concept of microcredit for the poor.
Area of the Sundarbans within Bangladesh in square kilometers,6017,sq km,Desh,It is the largest mangrove forest in the world.
Percentage of the world's Hilsa fish caught in Bangladesh,75,percent,Desh,Hilsa is the national fish of Bangladesh.
Number of days the Amar Ekushey Book Fair lasts,28,days,Desh,It takes place every February to honor language martyrs.
Number of garment factories in Bangladesh approximately,4000,factories,Desh,The RMG sector is the nation's primary export earner.
Number of border crossings between Bangladesh and India,36,crossings,Desh,Benapole is the most prominent land port.
Launch price of the Sony PlayStation 2 in the year 2000,299,USD,Price,It remains the best-selling console of all time.
Price of 1 Bitcoin in USD on January 1st 2012,5,USD,Price,The currency saw massive growth in the years following.
Launch price of the first Apple Watch in 2015,349,USD,Price,This was the 'Series 0' model.
Cost of the first generation iPhone in 2007,499,USD,Price,The 4GB model started at this price point.
Launch price of the first Kindle in 2007,399,USD,Price,It sold out in five and a half hours.
Price of an original Tamagotchi game console in 1997,18,USD,Price,The digital pet was a massive global craze.
Cost of a Tesla Model 3 at its 2017 launch,35000,USD,Price,It was marketed as the affordable EV option.
Cost of a 30 second Super Bowl ad in 2024 in millions,7,millions,Price,Ad costs have risen drastically over the decades.
Launch price of the first generation iPod in 2001,399,USD,Price,It held 1000 songs in your pocket.
Retail price of the first Nintendo Entertainment System in 1985,199,USD,Price,This was for the Control Deck version.
Price of a Big Mac in Switzerland in 2024,8,USD,Price,Switzerland often has the highest Big Mac index.
Winning auction price of the most expensive baseball card in millions (2024),12,millions,Price,A 1952 Mickey Mantle card set this record.
Price of one troy ounce of gold in USD in early 1970,35,USD,Price,The price was fixed before the gold standard ended.
Launch price of the PlayStation 5 in 2020,499,USD,Price,This was the price for the disc drive version.
Average cost of a movie ticket in the US in 1990,4,USD,Price,Ticket prices were much lower before the digital era.
Price of the first Ford Model T in 1908,825,USD,Price,Mass production eventually dropped the price to $260.
Price of 1kg of high grade Saffron in USD approximately (2024),5000,USD,Price,It is the most expensive spice in the world.
Cost of an AOL monthly dial up subscription in 1996,20,USD,Price,This flat rate led to a massive surge in usage.
Cost of a 12 inch cheese pizza in New York City in 1960,1,USD,Price,This is the legendary 'Pizza Principle' benchmark.
Height of Mount Everest in meters,8848,meters,Global,It is the highest point above sea level on Earth.
Number of keys on a standard grand piano,88,keys,Global,There are 52 white keys and 36 black keys.
How many teeth does a mosquito have,47,teeth,Weird Facts,They use these to grip and pierce the skin.
Number of hearts an octopus has,3,hearts,Weird Facts,Two pump blood to the gills
Number of noses a slug has,4,noses,Weird Facts,They are actually sensory tentacles for smelling.
How many months can a scorpion live without food,12,months,Weird Facts,They have a very slow metabolism.
Number of eyes a honeybee has,5,eyes,Weird Facts,They have two large compound eyes and three small ones.
How many keys are on a standard stenograph machine,22,keys,Weird Facts,Court reporters use these to type at high speeds.
Number of islands in Sweden which is a world record,221800,islands,Weird Facts,Most of these are uninhabited.
Number of years a tortoise can live on average,150,years,Weird Facts,Jonathan the tortoise is the oldest known land animal.
How many hearts does a hagfish have,4,hearts,Weird Facts,They have one main heart and three accessory pumps.
Number of scent receptors in a dog's nose in millions,300,millions,Weird Facts,Humans only have about 6 million.
Total length of the Padma Bridge in meters,6150,meters,Desh,The bridge is a double-decker with rail on the lower level and road on the upper level.
Number of spans of the main Padma Bridge structure,41,spans,Desh,"Each span is 150 meters long, supported by massive piers driven deep into the riverbed."
Number of piers supporting the Padma Bridge,42,piers,Desh,"The piers go down over 120 meters into the riverbed, among the deepest in the world."
Construction cost of the Padma Bridge in thousand crore BDT (rounded) (2024),30,thousand crore BDT,Desh,It was fully self-funded by Bangladesh after the World Bank pulled out of the project.
Toll for a private car to cross the Padma Bridge in BDT,750,BDT,Desh,"Trucks pay over 5 times more, while motorcycles pay only 100 BDT."
Number of stations on the Dhaka Metro Rail Line 6,16,stations,Desh,The line connects Uttara North to Motijheel through central Dhaka.
Total length of Dhaka Metro Rail Line 6 in kilometers,21,km,Desh,Line 6 is the first operational MRT line in Bangladesh.
Minimum fare for the Dhaka Metro Rail in BDT (2024),20,BDT,Desh,The fare is distance-based with a 10 percent discount for Rapid Pass users.
Maximum end-to-end fare on the Dhaka Metro Rail in BDT (2024),100,BDT,Desh,Uttara North to Motijheel is the longest single trip on the network.
Top operating speed of the Dhaka Metro Rail in km/h,100,km/h,Desh,The Japanese-built trains can hit this top speed but cruise at lower averages.
Total area of Bangladesh in thousand square kilometers (rounded),148,thousand sq km,Desh,"Despite its small area, Bangladesh ranks among the most densely populated countries."
Population of Bangladesh rounded to the nearest million as of 2024,173,million,Desh,Bangladesh ranks as the 8th most populous country in the world.
Length of the Bangladesh-India border in kilometers,4156,km,Desh,This is one of the longest international land borders in the world.
Length of the Bangladesh-Myanmar border in kilometers,271,km,Desh,Most of this border runs through hilly forested terrain in the Chittagong Hill Tracts.
Length of the Bangladesh coastline along the Bay of Bengal in kilometers,580,km,Desh,This includes the longest natural sea beach in the world at Cox's Bazar.
"Height of Tajingdong, the highest peak in Bangladesh, in meters",1280,meters,Desh,"Located in Bandarban, it is also known as Bijoy or Victory Peak."
"Height of Keokradong, the second highest peak in Bangladesh, in meters",883,meters,Desh,It is a popular trekking destination in the Chittagong Hill Tracts.
Number of rivers flowing through Bangladesh (commonly cited figure),700,rivers,Desh,"The exact count varies, but Bangladesh is famously known as the land of rivers."
Number of recipients of the Bir Sreshtho gallantry award,7,people,Desh,"Bir Sreshtho is the highest military award, with all recipients honored posthumously."
Number of Bir Bikrom awardees from the Liberation War,175,people,Desh,Bir Bikrom is the third-highest gallantry award in Bangladesh.
Number of Bir Protik awardees from the 1971 war,426,people,Desh,Bir Protik is the fourth-highest gallantry award for bravery.
Number of sectors the Liberation War was strategically divided into,11,sectors,Desh,Each sector had its own commander leading the Mukti Bahini forces.
Year UNESCO declared February 21 as International Mother Language Day,1999,year,Desh,It was officially recognized after a proposal from Bangladesh in 1999.
Number of language martyrs commonly commemorated on February 21,5,martyrs,Desh,"Salam, Barkat, Rafiq, Jabbar and Shafiur are the names most commemorated."
Number of paragraphs in the 1971 Proclamation of Independence,4,paragraphs,Desh,"The proclamation was issued on April 10, 1971 by the Mujibnagar government."
Total number of seats in the Jatiya Sangsad (parliament),350,seats,Desh,"Of these, 300 are directly elected and 50 are reserved for women."
Number of directly elected seats in the Jatiya Sangsad,300,seats,Desh,Members are elected via first-past-the-post in single-member constituencies.
Minimum age to be elected as President of Bangladesh,35,years,Desh,The Constitution sets this age threshold for the country's highest ceremonial office.
Number of articles in the original 1972 Constitution of Bangladesh,153,articles,Desh,The Constitution has been amended several times since its adoption.
Term length for a member of the Jatiya Sangsad in years,5,years,Desh,"Parliament can be dissolved early, triggering snap elections before the term ends."
Highest individual Test score by a Bangladeshi cricketer,219,runs,Desh,"Mushfiqur Rahim holds this record, scored against Zimbabwe in 2018."
Year Bangladesh won its first ever ICC trophy (U-19 World Cup),2020,year,Desh,Akbar Ali led the team to victory in South Africa.
Number of ODI World Cups Bangladesh has participated in (through 2023),7,tournaments,Desh,Bangladesh debuted at the 1999 World Cup in England.
Year Bangladesh first beat India in an ODI cricket match,2004,year,Desh,The famous win at Mirpur kicked off Bangladesh's rivalry with India in cricket.
Seating capacity of the Sher-e-Bangla National Stadium in Mirpur,25000,seats,Desh,It is the primary home of Bangladesh cricket and hosts most international matches.
Year the Bangladesh Premier League (BPL) was launched,2012,year,Desh,The BPL is Bangladesh's franchise-based T20 cricket league.
Year the iconic film 'Beder Meye Josna' was released,1989,year,Desh,The Anjuman-starring romantic drama became one of the highest-grossing BD films of all time.
Year Humayun Ahmed's debut novel 'Nondito Noroke' was published,1972,year,Desh,It established him as the most beloved Bengali writer of his generation.
Year the legendary drama serial 'Kothao Keu Nei' first aired on BTV,1990,year,Desh,Baker Bhai became one of the most iconic characters in Bangladeshi TV history.
Number of episodes in the classic Humayun Ahmed series 'Aaj Robibar',7,episodes,Desh,The family comedy aired on BTV in 1999 and became a generational classic.
Year Anjan Dutt's iconic song 'Bela Bose' was released,1994,year,Desh,The Bengali rock anthem became a cult classic across both Bangladesh and West Bengal.
Year the band LRB was formed by Ayub Bachchu,1991,year,Desh,Love Runs Blind became one of the most influential bands in Bangladeshi rock.
Year the Concert for Bangladesh was held in Madison Square Garden,1971,year,Desh,Organized by George Harrison and Ravi Shankar to raise relief funds.
Number of artists who performed at the 1971 Concert for Bangladesh,8,artists,Desh,"Headliners included George Harrison, Bob Dylan, Eric Clapton, and Ringo Starr."
Year Bangladeshi film 'Matir Moina' won a Cannes award,2002,year,Desh,"Directed by Tareque Masud, it was BD's first film at the Cannes Film Festival."
Year Grameen Bank was officially established as a bank,1983,year,Desh,Muhammad Yunus's microfinance model later won the Nobel Peace Prize.
Year BRAC was founded by Sir Fazle Hasan Abed,1972,year,Desh,BRAC is now the largest non-governmental development organization in the world.
Number of garment factories in Bangladesh (commonly cited figure),4000,factories,Desh,Bangladesh is the world's second-largest garment exporter after China.
Year the Rana Plaza building collapse occurred in Savar,2013,year,Desh,"It killed over 1,100 garment workers and reshaped global supply chain ethics."
Year bKash mobile financial service was launched in Bangladesh,2011,year,Desh,It revolutionized money transfers and is now used by over 70 million people.
"Year Pathao, a popular ride-sharing app, was founded in Bangladesh",2015,year,Desh,It started as a courier service before expanding to bike-hailing rides.
"Year Daraz, the e-commerce platform, was launched in Bangladesh",2014,year,Desh,It was later acquired by Alibaba Group in 2018.
Year construction of the Jatiya Sangsad Bhaban (Parliament) was completed,1982,year,Desh,"Designed by Louis Kahn, it took 21 years to build."
Year Louis Kahn was commissioned to design the Parliament Building,1961,year,Desh,The Pakistani government commissioned him before independence.
Year the Lalbagh Fort construction began in Old Dhaka,1678,year,Desh,"Prince Muhammad Azam Shah started the Mughal-era fort, but it was never completed."
Year the Sundarbans was declared a UNESCO World Heritage Site,1997,year,Desh,It is the largest mangrove forest in the world.
Number of mosques originally in the Historic Mosque City of Bagerhat,360,mosques,Desh,"Built by Khan Jahan Ali in the 15th century, only a fraction survive today."
Number of districts in Bangladesh as of 2024,64,districts,Desh,Bangladesh is administratively divided into 8 divisions and 64 districts.
Number of Upazilas (sub-districts) in Bangladesh as of 2024,495,upazilas,Desh,Upazilas form the second-lowest tier of local administration.
Number of Bengali months in the Bangla calendar,12,months,Desh,"The year begins with Boishakh, celebrated as Pohela Boishakh on April 14."
"Number of days in the longest Bangla month, Baishakh",31,days,Desh,The Bangla calendar was revised in 1966 to standardize month lengths.
Year the Bangla Academy was founded in Dhaka,1955,year,Desh,It was established to promote the Bangla language and literature.
Year the city of Dhaka was officially founded by the Mughals as a capital,1610,year,Desh,Subahdar Islam Khan I declared Dhaka the capital of Mughal Bengal.
Year the first tram service started in Dhaka (under British rule),1885,year,Desh,Horse-drawn trams ran through Old Dhaka until they were discontinued in 1951.
Number of fixed BRT (Bus Rapid Transit) stations planned for Dhaka,25,stations,Desh,The BRT line runs from Gazipur to Hazrat Shahjalal International Airport.
Year the Hazrat Shahjalal International Airport was officially opened,1980,year,Desh,It was previously known as Zia International Airport.
Number of terminals at Hazrat Shahjalal International Airport (after expansion),3,terminals,Desh,"Terminal 3, the newest, became operational in stages from 2023."
Launch price of the original iPhone 16 Pro 256GB in USD (2024),1099,USD,Price,Apple kept the 256GB tier as the new entry point for the Pro model.
Launch price of the Apple Vision Pro headset in USD (2024),3499,USD,Price,Apple's mixed-reality device launched at the highest debut price of any consumer Apple product.
Launch price of the Sony PlayStation 5 Pro in USD (2024),700,USD,Price,The Pro variant launched without a disc drive included.
Launch price of the Nintendo Switch in USD (2017),299,USD,Price,The hybrid console redefined portable gaming when it debuted.
Launch price of the original iPad in USD (2010),499,USD,Price,Steve Jobs personally unveiled it at the famous Yerba Buena keynote.
Launch price of the original Xbox in USD (2001),299,USD,Price,Microsoft's entry into console gaming undercut the PlayStation 2.
Launch price of the GameCube in the US in 2001,199,USD,Price,Nintendo aggressively undercut both PlayStation 2 and Xbox at launch.
Launch price of the original Game Boy in USD (1989),89,USD,Price,Tetris came bundled with most North American launch units.
Launch price of the iPod Mini in the US in 2004,249,USD,Price,It was Apple's first iPod with multiple color options.
Launch price of the original Macintosh computer in USD (1984),2495,USD,Price,Steve Jobs unveiled it during the famous '1984' Super Bowl ad campaign.
Launch price of the first-generation AirPods in USD (2016),159,USD,Price,They became the best-selling wireless earbuds in the world within a few years.
Launch price of the Tesla Cybertruck (base model) in USD (2023),60990,USD,Price,The truck launched years late after its 2019 unveiling.
Launch price of the original Roomba vacuum in USD (2002),199,USD,Price,iRobot's autonomous floor cleaner kicked off the home robotics market.
Launch price of the Oculus Rift CV1 in USD (2016),599,USD,Price,It kicked off the consumer VR era after years of developer kits.
Launch price of the Meta Quest 3 in USD (2023),499,USD,Price,The standalone VR headset is the successor to the popular Quest 2.
Monthly cost of HBO Max (ad-free) in the US as of 2024,16,USD,Price,Now branded simply as 'Max' after the 2023 merger.
Monthly cost of Apple TV+ in the US as of 2024,10,USD,Price,Apple raised the price from $6.99 in 2023.
Monthly cost of YouTube Premium (individual) in the US as of 2024,14,USD,Price,The plan removes ads and includes YouTube Music.
Monthly cost of Hulu (with ads) in the US as of 2024,8,USD,Price,Hulu's ad-supported tier is the cheapest among major streamers.
Annual cost of Amazon Prime in the US as of 2024,139,USD,Price,The price increased from $119 in early 2022.
Monthly cost of GitHub Copilot for individuals in USD (2024),10,USD,Price,The AI coding assistant became one of the fastest-growing developer tools.
Monthly cost of a New York Times All Access digital subscription (2024),25,USD,Price,"It includes news, cooking, games, sports, and audio."
Cost of a Big Mac Meal at McDonald's in the US (average 2024),11,USD,Price,Fast food prices in the US rose over 30 percent since 2019.
Cost of a Footlong sub at Subway in the US (average 2024),9,USD,Price,The classic 'five-dollar footlong' deal disappeared after inflation.
Cost of a Chipotle chicken burrito in the US (average 2024),10,USD,Price,Chipotle has steadily raised prices to offset wage and ingredient costs.
Cost of a Starbucks Grande Latte in the US (average 2024),5,USD,Price,Starbucks coffee prices have climbed steadily over the past decade.
Cost of a single Krispy Kreme original glazed donut in the US (average) (2024),2,USD,Price,A dozen typically costs around $12 at standard locations.
Price of 1kg of Pran branded onions in Dhaka in 2024,80,BDT,Price,Onion prices spike whenever imports from India face restrictions.
Price of a 1kg pack of 'Miniket' rice in Dhaka in 2024,75,BDT,Price,Miniket is the most commonly consumed processed rice in urban Bangladesh.
Price of 1 dozen brown eggs in a Dhaka kitchen market in 2024,145,BDT,Price,Egg prices have seen sharp inflation due to rising poultry feed costs.
Price of 1 liter of soybean cooking oil in Dhaka in 2024,165,BDT,Price,Bottled soybean oil is the most common cooking oil in Bangladeshi homes.
Price of a 1kg pack of Aarong Dairy butter in Dhaka in 2024,1100,BDT,Price,Aarong Dairy is the premium dairy brand owned by BRAC.
Price of a 200g Polar ice cream tub in a Dhaka shop in 2024,130,BDT,Price,Polar is one of the oldest local ice cream brands in Bangladesh.
Price of a 'Set Menu' lunch at Kasturi Restaurant Dhaka in 2024,350,BDT,Price,Kasturi is famous for traditional Bengali set meals near Purana Paltan.
Price of a single 'Borhani' bottle at Star Kabab Dhaka in 2024,80,BDT,Price,Borhani is the iconic spiced yogurt drink served with kacchi biryani.
Price of a 'Kacchi Biryani' single plate at Sultan's Dine in 2024,590,BDT,Price,Sultan's Dine became a massive cultural phenomenon in Dhaka post-2020.
